i,j,nx,ny,nz
55,58,0.5681474765789855,0.6406769416741752,0.5164702326988041
56,58,0.5756240822319695,0.6226138032304975,0.530102790014784
57,58,0.5820256776033806,0.6048502139799838,0.5435092724679988
58,58,0.5874203380437358,0.5874203380437358,0.5566638958161076
59,58,0.5918751681463105,0.570352434759172,0.5695453322572852
60,58,0.5954557325672053,0.5536693653695068,0.5821363280230675
61,58,0.5982256020278386,0.5373891001267026,0.5944233206591437
62,58,0.6002460024599795,0.5215252152521134,0.6063960639607179
63,58,0.6015755550250205,0.5060873716877156,0.6180472666508272
0,59,-0.5864556667441961,0.5119851058877903,0.6276471957180153
1,59,-0.5847112389168027,0.5271986580397399,0.6165827941529631
2,59,-0.5822847273624039,0.5428077966937664,0.6052306933136734
3,59,-0.5791211582422732,0.5588011176021934,0.5935991871984563
4,59,-0.5751633986927674,0.5751633986927676,0.581699346405314
5,59,-0.5703524347591719,0.5918751681463106,0.5695453322572852
6,59,-0.5646277331856762,0.6089122612786706,0.5571547190701168
7,59,-0.5579276971249233,0.6262453743238933,0.544548818673594
8,59,-0.5501902253438286,0.6438396254023523,0.5317529997074448
9,59,-0.5413533834586072,0.6616541353382976,0.5187969924813058
10,59,-0.5313561940067579,0.679641643497016,0.5057151683658774
11,59,-0.5201395496352307,0.6977481763399436,0.4925467808437514
12,59,-0.5076472502440252,0.7159127888056763,0.47933615359594905
13,59,-0.4938271604937923,0.7340674007340159,0.46613279946625086
14,59,-0.47863247863244524,0.7521367521366998,0.45299145299157506
15,59,-0.4620231011550259,0.7700385019250435,0.4399719986000558
